TagNo,Distance,Temperature,RealTemp,RSSI,FREQ,H_RSSI,H_FREQ,ID,Data,Detect
1,10,33,32.0,237,16529165,ed,fc370d,e20051397201021118904d81,441601edfc370d0e3000e20051397201021118904d81,1
1,10,33,32.0,235,11287565,eb,ac3c0d,e20051397201021118904d81,441601ebac3c0d0e3000e20051397201021118904d81,1
1,10,33,32.0,238,5519885,ee,543a0d,e20051397201021118904d81,441601ee543a0d0e3000e20051397201021118904d81,1
1,20,33,32.0,230,10761485,e6,a4350d,e20051397201021118904d81,441601e6a4350d0e3000e20051397201021118904d81,1
1,20,33,32.0,234,16529165,ea,fc370d,e20051397201021118904d81,441601eafc370d0e3000e20051397201021118904d81,1
1,20,33,32.0,234,11287565,ea,ac3c0d,e20051397201021118904d81,441601eaac3c0d0e3000e20051397201021118904d81,1
1,20,33,32.0,232,5519885,e8,543a0d,e20051397201021118904d81,441601e8543a0d0e3000e20051397201021118904d81,1
1,20,33,32.0,234,10761485,ea,a4350d,e20051397201021118904d81,441601eaa4350d0e3000e20051397201021118904d81,1
1,30,33,32.0,213,16529165,d5,fc370d,e20051397201021118904d81,441601d5fc370d0e3000e20051397201021118904d81,1
1,30,33,32.0,214,11287565,d6,ac3c0d,e20051397201021118904d81,441601d6ac3c0d0e3000e20051397201021118904d81,1
1,30,33,32.0,208,5519885,d0,543a0d,e20051397201021118904d81,441601d0543a0d0e3000e20051397201021118904d81,1
1,30,33,32.0,215,10761485,d7,a4350d,e20051397201021118904d81,441601d7a4350d0e3000e20051397201021118904d81,1
1,30,33,32.0,214,16529165,d6,fc370d,e20051397201021118904d81,441601d6fc370d0e3000e20051397201021118904d81,1
1,40,33,32.0,185,11287565,b9,ac3c0d,e20051397201021118904d81,441601b9ac3c0d0e3000e20051397201021118904d81,1
1,40,33,32.0,186,5519885,ba,543a0d,e20051397201021118904d81,441601ba543a0d0e3000e20051397201021118904d81,1
1,40,33,32.0,184,10761485,b8,a4350d,e20051397201021118904d81,441601b8a4350d0e3000e20051397201021118904d81,1
1,40,33,32.0,185,16529165,b9,fc370d,e20051397201021118904d81,441601b9fc370d0e3000e20051397201021118904d81,1
1,40,33,32.0,186,11287565,ba,ac3c0d,e20051397201021118904d81,441601baac3c0d0e3000e20051397201021118904d81,1
1,50,33,32.0,154,5519885,9a,543a0d,e20051397201021118904d81,4416019a543a0d0e3000e20051397201021118904d81,1
1,50,33,32.0,170,10761485,aa,a4350d,e20051397201021118904d81,441601aaa4350d0e3000e20051397201021118904d81,1
1,50,33,32.0,184,16529165,b8,fc370d,e20051397201021118904d81,441601b8fc370d0e3000e20051397201021118904d81,1
1,50,33,32.0,170,11287565,aa,ac3c0d,e20051397201021118904d81,441601aaac3c0d0e3000e20051397201021118904d81,1
1,50,33,32.0,167,5519885,a7,543a0d,e20051397201021118904d81,441601a7543a0d0e3000e20051397201021118904d81,1
1,60,33,32.0,121,10761485,79,a4350d,e20051397201021118904d81,44160179a4350d0e3000e20051397201021118904d81,1
1,60,33,32.0,90,16529165,5a,fc370d,e20051397201021118904d81,4416015afc370d0e3000e20051397201021118904d81,1
1,60,33,32.0,58,11287565,3a,ac3c0d,e20051397201021118904d81,4416013aac3c0d0e3000e20051397201021118904d81,1
1,60,33,32.0,59,5519885,3b,543a0d,e20051397201021118904d81,4416013b543a0d0e3000e20051397201021118904d81,1
1,60,33,32.0,74,10761485,4a,a4350d,e20051397201021118904d81,4416014aa4350d0e3000e20051397201021118904d81,1
1,70,33,32.0,0,0,0,0,,4405000000,0
1,70,33,32.0,73,11287565,49,ac3c0d,e20051397201021118904d81,44160149ac3c0d0e3000e20051397201021118904d81,1
1,70,33,32.0,57,5519885,39,543a0d,e20051397201021118904d81,44160139543a0d0e3000e20051397201021118904d81,1
1,70,33,32.0,25,10761485,19,a4350d,e20051397201021118904d81,44160119a4350d0e3000e20051397201021118904d81,1
1,70,33,32.0,73,16529165,49,fc370d,e20051397201021118904d81,44160149fc370d0e3000e20051397201021118904d81,1
1,80,33,32.0,120,11287565,78,ac3c0d,e20051397201021118904d81,44160178ac3c0d0e3000e20051397201021118904d81,1
1,80,33,32.0,136,5519885,88,543a0d,e20051397201021118904d81,44160188543a0d0e3000e20051397201021118904d81,1
1,80,33,32.0,120,10761485,78,a4350d,e20051397201021118904d81,44160178a4350d0e3000e20051397201021118904d81,1
1,80,33,32.0,119,16529165,77,fc370d,e20051397201021118904d81,44160177fc370d0e3000e20051397201021118904d81,1
1,80,33,32.0,134,11287565,86,ac3c0d,e20051397201021118904d81,44160186ac3c0d0e3000e20051397201021118904d81,1
1,90,33,32.0,133,5519885,85,543a0d,e20051397201021118904d81,44160185543a0d0e3000e20051397201021118904d81,1
1,90,33,32.0,112,10761485,70,a4350d,e20051397201021118904d81,44160170a4350d0e3000e20051397201021118904d81,1
1,90,33,32.0,129,16529165,81,fc370d,e20051397201021118904d81,44160181fc370d0e3000e20051397201021118904d81,1
1,90,33,32.0,117,11287565,75,ac3c0d,e20051397201021118904d81,44160175ac3c0d0e3000e20051397201021118904d81,1
1,90,33,32.0,116,5519885,74,543a0d,e20051397201021118904d81,44160174543a0d0e3000e20051397201021118904d81,1
1,100,33,32.0,116,10761485,74,a4350d,e20051397201021118904d81,44160174a4350d0e3000e20051397201021118904d81,1
1,100,33,32.0,117,16529165,75,fc370d,e20051397201021118904d81,44160175fc370d0e3000e20051397201021118904d81,1
1,100,33,32.0,112,11287565,70,ac3c0d,e20051397201021118904d81,44160170ac3c0d0e3000e20051397201021118904d81,1
1,100,33,32.0,115,5519885,73,543a0d,e20051397201021118904d81,44160173543a0d0e3000e20051397201021118904d81,1
1,100,33,32.0,116,10761485,74,a4350d,e20051397201021118904d81,44160174a4350d0e3000e20051397201021118904d81,1
1,110,33,32.0,0,0,0,0,,4405000000,0
1,110,33,32.0,0,0,0,0,,4405000000,0
1,110,33,32.0,0,0,0,0,,4405000000,0
1,110,33,32.0,96,10761485,60,a4350d,e20051397201021118904d81,44160160a4350d0e3000e20051397201021118904d81,1
1,110,33,32.0,98,16529165,62,fc370d,e20051397201021118904d81,44160162fc370d0e3000e20051397201021118904d81,1
1,120,33,32.0,0,0,0,0,,4405000000,0
1,120,33,32.0,80,5519885,50,543a0d,e20051397201021118904d81,44160150543a0d0e3000e20051397201021118904d81,1
1,120,33,32.0,80,10761485,50,a4350d,e20051397201021118904d81,44160150a4350d0e3000e20051397201021118904d81,1
1,120,33,32.0,80,16529165,50,fc370d,e20051397201021118904d81,44160150fc370d0e3000e20051397201021118904d81,1
1,120,33,32.0,80,11287565,50,ac3c0d,e20051397201021118904d81,44160150ac3c0d0e3000e20051397201021118904d81,1
1,130,33,32.0,0,0,0,0,,4405000000,0
1,130,33,32.0,5,10761485,05,a4350d,e20051397201021118904d81,44160105a4350d0e3000e20051397201021118904d81,1
1,130,33,32.0,5,16529165,05,fc370d,e20051397201021118904d81,44160105fc370d0e3000e20051397201021118904d81,1
1,130,33,32.0,53,11287565,35,ac3c0d,e20051397201021118904d81,44160135ac3c0d0e3000e20051397201021118904d81,1
1,130,33,32.0,0,0,0,0,,4405000000,0
1,140,33,32.0,0,0,0,0,,4405000000,0
1,140,33,32.0,37,16529165,25,fc370d,e20051397201021118904d81,44160125fc370d0e3000e20051397201021118904d81,1
1,140,33,32.0,54,11287565,36,ac3c0d,e20051397201021118904d81,44160136ac3c0d0e3000e20051397201021118904d81,1
1,140,33,32.0,69,5519885,45,543a0d,e20051397201021118904d81,44160145543a0d0e3000e20051397201021118904d81,1
1,140,33,32.0,37,10761485,25,a4350d,e20051397201021118904d81,44160125a4350d0e3000e20051397201021118904d81,1
1,150,33,32.0,0,0,0,0,,4405000000,0
1,150,33,32.0,0,0,0,0,,4405000000,0
1,150,33,32.0,0,0,0,0,,4405000000,0
1,150,33,32.0,0,0,0,0,,4405000000,0
1,150,33,32.0,0,0,0,0,,4405000000,0
1,160,33,32.0,96,11287565,60,ac3c0d,e20051397201021118904d81,44160160ac3c0d0e3000e20051397201021118904d81,1
1,160,33,32.0,0,0,0,0,,4405000000,0
1,160,33,32.0,0,0,0,0,,4405000000,0
1,160,33,32.0,0,0,0,0,,4405000000,0
1,160,33,32.0,0,0,0,0,,4405000000,0
1,170,33,32.0,0,0,0,0,,4405000000,0
1,170,33,32.0,0,0,0,0,,4405000000,0
