DISTANCE,DETECT,RSSI_DEC,FREQUENCY,ID,CYCLE,N,READ_RATE
140,0,0,0,e20051397201021118904d81,5,8,0.000
150,0,0,0,e20051397201021118904d81,5,8,0.000
160,0,0,0,e20051397201021118904d81,5,8,0.000
170,0,0,0,e20051397201021118904d81,5,8,0.000
180,0,0,0,e20051397201021118904d81,5,8,0.000
190,0,0,0,e20051397201021118904d81,5,8,0.000
200,0,0,0,e20051397201021118904d81,5,8,0.000
10,1,237,5519885,e20051397201021118904d81,1,9,1.000
20,1,236,10761485,e20051397201021118904d81,1,9,1.000
30,1,220,16529165,e20051397201021118904d81,1,9,1.000
40,1,183,11287565,e20051397201021118904d81,1,9,1.000
50,1,152,5519885,e20051397201021118904d81,1,9,1.000
60,1,167,10761485,e20051397201021118904d81,1,9,1.000
70,1,10,16529165,e20051397201021118904d81,1,9,1.000
80,1,105,11287565,e20051397201021118904d81,2,9,0.500
90,1,73,5519885,e20051397201021118904d81,1,9,1.000
100,1,103,10761485,e20051397201021118904d81,1,9,1.000
110,1,102,16529165,e20051397201021118904d81,2,9,0.500
120,1,97,11287565,e20051397201021118904d81,2,9,0.500
130,0,0,0,e20051397201021118904d81,5,9,0.000
140,0,0,0,e20051397201021118904d81,5,9,0.000
150,1,54,16529165,e20051397201021118904d81,4,9,0.250
160,1,53,11287565,e20051397201021118904d81,4,9,0.250
170,0,0,0,e20051397201021118904d81,5,9,0.000
180,0,0,0,e20051397201021118904d81,5,9,0.000
190,0,0,0,e20051397201021118904d81,5,9,0.000
200,0,0,0,e20051397201021118904d81,5,9,0.000
10,1,237,16529165,e20051397201021118904d81,1,10,1.000
20,1,220,11287565,e20051397201021118904d81,1,10,1.000
30,1,198,5519885,e20051397201021118904d81,1,10,1.000
40,1,177,10761485,e20051397201021118904d81,1,10,1.000
50,1,136,16529165,e20051397201021118904d81,1,10,1.000
60,1,135,11287565,e20051397201021118904d81,1,10,1.000
70,1,88,5519885,e20051397201021118904d81,1,10,1.000
80,1,23,10761485,e20051397201021118904d81,1,10,1.000
90,1,70,16529165,e20051397201021118904d81,1,10,1.000
100,1,96,11287565,e20051397201021118904d81,1,10,1.000
110,1,96,5519885,e20051397201021118904d81,1,10,1.000
120,1,83,10761485,e20051397201021118904d81,1,10,1.000
130,0,0,0,e20051397201021118904d81,5,10,0.000
140,1,54,11287565,e20051397201021118904d81,2,10,0.500
150,0,0,0,e20051397201021118904d81,5,10,0.000
160,0,0,0,e20051397201021118904d81,5,10,0.000
170,0,0,0,e20051397201021118904d81,5,10,0.000
180,0,0,0,e20051397201021118904d81,5,10,0.000
190,0,0,0,e20051397201021118904d81,5,10,0.000
200,0,0,0,e20051397201021118904d81,5,10,0.000
10,1,236,5519885,e20051397201021018904d85,1,1,1.000
