DISTANCE,DETECT,RSSI_DEC,FREQUENCY,ID,N,READ,READ_RATE
140,0,0,0,e20051397201021118904d81,7,0,0.00
150,0,0,0,e20051397201021118904d81,7,0,0.00
160,0,0,0,e20051397201021118904d81,7,0,0.00
170,0,0,0,e20051397201021118904d81,7,0,0.00
180,0,0,0,e20051397201021118904d81,7,0,0.00
190,0,0,0,e20051397201021118904d81,7,0,0.00
200,0,0,0,e20051397201021118904d81,7,0,0.00
210,0,0,0,e20051397201021118904d81,7,0,0.00
220,0,0,0,e20051397201021118904d81,7,0,0.00
230,0,0,0,e20051397201021118904d81,7,0,0.00
240,0,0,0,e20051397201021118904d81,7,0,0.00
250,0,0,0,e20051397201021118904d81,7,0,0.00
260,0,0,0,e20051397201021118904d81,7,0,0.00
270,0,0,0,e20051397201021118904d81,7,0,0.00
280,0,0,0,e20051397201021118904d81,7,0,0.00
290,0,0,0,e20051397201021118904d81,7,0,0.00
300,0,0,0,e20051397201021118904d81,7,0,0.00
10,1,190,16529165,e20051397201021118904d81,8,5,1.00
20,1,221,11287565,e20051397201021118904d81,8,5,1.00
30,1,187,5519885,e20051397201021118904d81,8,5,1.00
40,1,170,10761485,e20051397201021118904d81,8,5,1.00
50,1,164,16529165,e20051397201021118904d81,8,5,1.00
60,1,135,11287565,e20051397201021118904d81,8,5,1.00
70,1,119,5519885,e20051397201021118904d81,8,5,1.00
80,1,119,10761485,e20051397201021118904d81,8,5,1.00
90,1,39,16529165,e20051397201021118904d81,8,4,0.80
100,1,37,11287565,e20051397201021118904d81,8,5,1.00
110,1,112,5519885,e20051397201021118904d81,8,5,1.00
120,0,0,0,e20051397201021118904d81,8,0,0.00
130,0,0,0,e20051397201021118904d81,8,0,0.00
140,0,0,0,e20051397201021118904d81,8,0,0.00
150,0,0,0,e20051397201021118904d81,8,0,0.00
160,0,0,0,e20051397201021118904d81,8,0,0.00
170,0,0,0,e20051397201021118904d81,8,0,0.00
180,0,0,0,e20051397201021118904d81,8,0,0.00
190,0,0,0,e20051397201021118904d81,8,0,0.00
200,0,0,0,e20051397201021118904d81,8,0,0.00
210,0,0,0,e20051397201021118904d81,8,0,0.00
220,0,0,0,e20051397201021118904d81,8,0,0.00
230,0,0,0,e20051397201021118904d81,8,0,0.00
240,0,0,0,e20051397201021118904d81,8,0,0.00
250,0,0,0,e20051397201021118904d81,8,0,0.00
260,0,0,0,e20051397201021118904d81,8,0,0.00
270,0,0,0,e20051397201021118904d81,8,0,0.00
280,0,0,0,e20051397201021118904d81,8,0,0.00
290,0,0,0,e20051397201021118904d81,8,0,0.00
300,0,0,0,e20051397201021118904d81,8,0,0.00
10,1,237,5519885,e20051397201021118904d81,9,5,1.00
