TagNo,Distance,Temperature,RealTemp,RSSI,FREQ,H_RSSI,H_FREQ,ID,Data,Detect
1,60,0,0,165,16529165,a5,fc370d,e20051397201021118904d81,441601a5fc370d0e3000e20051397201021118904d81,1
1,70,0,0,103,11287565,67,ac3c0d,e20051397201021118904d81,44160167ac3c0d0e3000e20051397201021118904d81,1
1,80,0,0,0,0,0,0,,4405000000,0
1,90,0,0,54,10761485,36,a4350d,e20051397201021118904d81,44160136a4350d0e3000e20051397201021118904d81,1
1,100,0,0,112,16529165,70,fc370d,e20051397201021118904d81,44160170fc370d0e3000e20051397201021118904d81,1
1,110,0,0,96,11287565,60,ac3c0d,e20051397201021118904d81,44160160ac3c0d0e3000e20051397201021118904d81,1
1,120,0,0,80,5519885,50,543a0d,e20051397201021118904d81,44160150543a0d0e3000e20051397201021118904d81,1
1,130,0,0,81,10761485,51,a4350d,e20051397201021118904d81,44160151a4350d0e3000e20051397201021118904d81,1
1,140,0,0,0,0,0,0,,4405000000,0
1,150,0,0,0,0,0,0,,4405000000,0
1,160,0,0,0,0,0,0,,4405000000,0
1,170,0,0,0,0,0,0,,4405000000,0
1,180,0,0,0,0,0,0,,4405000000,0
1,190,0,0,0,0,0,0,,4405000000,0
1,200,0,0,0,0,0,0,,4405000000,0
1,10,0,0,222,10761485,de,a4350d,e20051397201021118904d81,441601dea4350d0e3000e20051397201021118904d81,1
1,20,0,0,219,16529165,db,fc370d,e20051397201021118904d81,441601dbfc370d0e3000e20051397201021118904d81,1
1,30,0,0,215,11287565,d7,ac3c0d,e20051397201021118904d81,441601d7ac3c0d0e3000e20051397201021118904d81,1
1,40,0,0,197,5519885,c5,543a0d,e20051397201021118904d81,441601c5543a0d0e3000e20051397201021118904d81,1
1,50,0,0,120,10761485,78,a4350d,e20051397201021118904d81,44160178a4350d0e3000e20051397201021118904d81,1
1,60,0,0,57,16529165,39,fc370d,e20051397201021118904d81,44160139fc370d0e3000e20051397201021118904d81,1
1,70,0,0,24,11287565,18,ac3c0d,e20051397201021118904d81,44160118ac3c0d0e3000e20051397201021118904d81,1
1,80,0,0,57,5519885,39,543a0d,e20051397201021118904d81,44160139543a0d0e3000e20051397201021118904d81,1
1,90,0,0,116,10761485,74,a4350d,e20051397201021118904d81,44160174a4350d0e3000e20051397201021118904d81,1
1,100,0,0,101,16529165,65,fc370d,e20051397201021118904d81,44160165fc370d0e3000e20051397201021118904d81,1
1,110,0,0,82,11287565,52,ac3c0d,e20051397201021118904d81,44160152ac3c0d0e3000e20051397201021118904d81,1
1,120,0,0,21,5519885,15,543a0d,e20051397201021118904d81,44160115543a0d0e3000e20051397201021118904d81,1
1,130,0,0,0,0,0,0,,4405000000,0
1,140,0,0,0,0,0,0,,4405000000,0
1,150,0,0,0,0,0,0,,4405000000,0
1,160,0,0,0,0,0,0,,4405000000,0
1,170,0,0,0,0,0,0,,4405000000,0
