DISTANCE,DETECT,RSSI,FREQUENCY,ID
50,0,0,0,e20051397201021018904d85
60,1,135,5519885,e20051397201021018904d85
70,0,0,0,e20051397201021018904d85
80,1,38,16529165,e20051397201021018904d85
90,0,0,0,e20051397201021018904d85
100,1,97,5519885,e20051397201021018904d85
110,0,0,0,e20051397201021018904d85
120,0,0,0,e20051397201021018904d85
130,0,0,0,e20051397201021018904d85
140,0,0,0,e20051397201021018904d85
150,0,0,0,e20051397201021018904d85
160,0,0,0,e20051397201021018904d85
170,0,0,0,e20051397201021018904d85
180,0,0,0,e20051397201021018904d85
190,0,0,0,e20051397201021018904d85
200,0,0,0,e20051397201021018904d85
10,1,235,10761485,e20051397201021018904d85
20,1,236,16529165,e20051397201021018904d85
30,1,216,11287565,e20051397201021018904d85
40,1,176,5519885,e20051397201021018904d85
50,1,161,10761485,e20051397201021018904d85
60,1,105,16529165,e20051397201021018904d85
70,1,57,11287565,e20051397201021018904d85
80,1,40,5519885,e20051397201021018904d85
90,1,102,10761485,e20051397201021018904d85
100,1,133,16529165,e20051397201021018904d85
110,1,117,11287565,e20051397201021018904d85
120,0,0,0,e20051397201021018904d85
130,0,0,0,e20051397201021018904d85
140,1,53,16529165,e20051397201021018904d85
150,1,5,11287565,e20051397201021018904d85
160,0,0,0,e20051397201021018904d85
170,0,0,0,e20051397201021018904d85
180,0,0,0,e20051397201021018904d85
190,0,0,0,e20051397201021018904d85
200,0,0,0,e20051397201021018904d85
10,1,237,16529165,e20051397201021018904d85
20,1,236,11287565,e20051397201021018904d85
30,1,212,5519885,e20051397201021018904d85
40,1,200,10761485,e20051397201021018904d85
50,1,176,16529165,e20051397201021018904d85
60,0,0,0,e20051397201021018904d85
70,1,9,5519885,e20051397201021018904d85
80,1,40,10761485,e20051397201021018904d85
90,1,39,16529165,e20051397201021018904d85
100,0,0,0,e20051397201021018904d85
110,1,101,5519885,e20051397201021018904d85
120,0,0,0,e20051397201021018904d85
130,0,0,0,e20051397201021018904d85
140,0,0,0,e20051397201021018904d85
150,0,0,0,e20051397201021018904d85
160,0,0,0,e20051397201021018904d85
170,0,0,0,e20051397201021018904d85
180,0,0,0,e20051397201021018904d85
190,0,0,0,e20051397201021018904d85
200,0,0,0,e20051397201021018904d85
10,1,236,11287565,e20051397201021018904d85
20,1,236,5519885,e20051397201021018904d85
30,1,215,10761485,e20051397201021018904d85
40,0,0,0,e20051397201021018904d85
50,1,137,11287565,e20051397201021018904d85
60,1,58,5519885,e20051397201021018904d85
70,1,9,10761485,e20051397201021018904d85
80,1,119,16529165,e20051397201021018904d85
90,1,113,11287565,e20051397201021018904d85
100,1,116,5519885,e20051397201021018904d85
110,1,98,10761485,e20051397201021018904d85
120,0,0,0,e20051397201021018904d85
130,0,0,0,e20051397201021018904d85
140,0,0,0,e20051397201021018904d85
150,0,0,0,e20051397201021018904d85
160,0,0,0,e20051397201021018904d85
170,0,0,0,e20051397201021018904d85
180,0,0,0,e20051397201021018904d85
190,0,0,0,e20051397201021018904d85
200,0,0,0,e20051397201021018904d85
10,1,236,5519885,e20051397201021018904d85
20,1,221,10761485,e20051397201021018904d85
30,1,210,16529165,e20051397201021018904d85
40,1,197,11287565,e20051397201021018904d85
50,1,168,5519885,e20051397201021018904d85
60,0,0,0,e20051397201021018904d85
70,1,73,16529165,e20051397201021018904d85
80,1,103,11287565,e20051397201021018904d85
90,1,101,5519885,e20051397201021018904d85
100,1,100,10761485,e20051397201021018904d85
110,1,80,16529165,e20051397201021018904d85
120,0,0,0,e20051397201021018904d85
130,1,6,5519885,e20051397201021018904d85
140,1,69,10761485,e20051397201021018904d85
150,0,0,0,e20051397201021018904d85
160,0,0,0,e20051397201021018904d85
170,0,0,0,e20051397201021018904d85
180,0,0,0,e20051397201021018904d85
190,0,0,0,e20051397201021018904d85
200,0,0,0,e20051397201021018904d85
10,1,237,5519885,e20051397201021018904d85
20,1,220,10761485,e20051397201021018904d85
30,1,197,16529165,e20051397201021018904d85
40,1,181,11287565,e20051397201021018904d85
50,1,167,5519885,e20051397201021018904d85
60,1,137,10761485,e20051397201021018904d85
70,1,120,16529165,e20051397201021018904d85
80,0,0,0,e20051397201021018904d85
90,1,118,5519885,e20051397201021018904d85
100,1,113,10761485,e20051397201021018904d85
110,1,96,16529165,e20051397201021018904d85
120,1,98,11287565,e20051397201021018904d85
130,0,0,0,e20051397201021018904d85
140,0,0,0,e20051397201021018904d85
150,0,0,0,e20051397201021018904d85
160,0,0,0,e20051397201021018904d85
170,0,0,0,e20051397201021018904d85
180,0,0,0,e20051397201021018904d85
190,0,0,0,e20051397201021018904d85
200,0,0,0,e20051397201021018904d85
10,1,237,5519885,e20051397201021018904d85
20,1,221,10761485,e20051397201021018904d85
30,1,211,16529165,e20051397201021018904d85
40,1,198,11287565,e20051397201021018904d85
50,1,123,5519885,e20051397201021018904d85
60,1,122,10761485,e20051397201021018904d85
70,1,72,16529165,e20051397201021018904d85
80,1,132,11287565,e20051397201021018904d85
90,1,128,5519885,e20051397201021018904d85
100,1,117,10761485,e20051397201021018904d85
110,1,112,16529165,e20051397201021018904d85
120,1,99,11287565,e20051397201021018904d85
130,0,0,0,e20051397201021018904d85
140,1,6,10761485,e20051397201021018904d85
150,0,0,0,e20051397201021018904d85
160,1,98,11287565,e20051397201021018904d85
170,0,0,0,e20051397201021018904d85
180,0,0,0,e20051397201021018904d85
190,0,0,0,e20051397201021018904d85
200,0,0,0,e20051397201021018904d85
10,1,252,5519885,e20051397201015918904e51
20,1,234,10761485,e20051397201015918904e51
30,1,201,16529165,e20051397201015918904e51
40,1,169,11287565,e20051397201015918904e51
50,1,10,5519885,e20051397201015918904e51
60,1,90,10761485,e20051397201015918904e51
70,1,89,16529165,e20051397201015918904e51
80,1,133,11287565,e20051397201015918904e51
90,1,114,5519885,e20051397201015918904e51
100,1,101,10761485,e20051397201015918904e51
110,0,0,0,e20051397201015918904e51
120,1,6,11287565,e20051397201015918904e51
130,0,0,0,e20051397201015918904e51
140,0,0,0,e20051397201015918904e51
150,0,0,0,e20051397201015918904e51
160,0,0,0,e20051397201015918904e51
170,0,0,0,e20051397201015918904e51
180,0,0,0,e20051397201015918904e51
190,0,0,0,e20051397201015918904e51
200,0,0,0,e20051397201015918904e51
10,1,237,5519885,e20051397201015918904e51
20,1,236,10761485,e20051397201015918904e51
30,1,214,16529165,e20051397201015918904e51
40,1,91,11287565,e20051397201015918904e51
50,1,42,5519885,e20051397201015918904e51
60,1,121,10761485,e20051397201015918904e51
70,0,0,0,e20051397201015918904e51
80,1,116,11287565,e20051397201015918904e51
90,1,112,5519885,e20051397201015918904e51
100,1,102,10761485,e20051397201015918904e51
110,1,83,16529165,e20051397201015918904e51
120,1,37,11287565,e20051397201015918904e51
130,0,0,0,e20051397201015918904e51
140,0,0,0,e20051397201015918904e51
150,0,0,0,e20051397201015918904e51
160,0,0,0,e20051397201015918904e51
170,0,0,0,e20051397201015918904e51
180,0,0,0,e20051397201015918904e51
190,0,0,0,e20051397201015918904e51
200,0,0,0,e20051397201015918904e51
10,1,251,10761485,e20051397201015918904e51
20,1,234,16529165,e20051397201015918904e51
30,1,192,11287565,e20051397201015918904e51
40,1,170,5519885,e20051397201015918904e51
50,1,10,10761485,e20051397201015918904e51
